TICKER,TICKER_NM,TICKER_TYPE,TICKER_STAT
023450,동남합성,0,정상
023530,롯데쇼핑,0,정상
023590,다우기술,0,정상
023800,인지컨트롤스,0,정상
023810,인팩,0,정상
023960,에쓰씨엔지니어링,0,정상
024070,WISCOM,0,정상
024090,디씨엠,0,정상
024110,기업은행,0,정상
024720,한국콜마홀딩스,0,정상
024890,대원화성,0,정상
024900,덕양산업,0,정상
025000,KPX케미칼,0,정상
025530,SJM홀딩스,0,정상
025540,한국단자,0,정상
025560,미래산업,0,정상
025620,제이준코스메틱,0,정상
025750,한솔홈데코,0,정상
025820,이구산업,0,정상
025860,남해화학,0,정상
025890,한국주강,0,정상
026890,스틱인베스트먼트,0,정상
026940,부국철강,0,정상
026960,동서,0,정상
027410,BGF,0,정상
027740,마니커,0,정상
027970,세하,0,정상
028050,삼성엔지니어링,0,정상
028100,동아지질,0,정상
028260,삼성물산,0,정상
02826K,삼성물산우B,0,정상
028670,팬오션,0,정상
029460,케이씨,0,정상
029530,신도리코,0,정상
029780,삼성카드,0,정상
030000,제일기획,0,정상
030200,KT,0,정상
030210,다올투자증권,0,정상
030610,교보증권,0,정상
030720,동원수산,0,정상
030790,비케이탑스,0,정상
031430,신세계인터내셔날,0,정상
031440,신세계푸드,0,정상
031820,콤텍시스템,0,정상
032350,롯데관광개발,0,정상
032560,황금에스티,0,정상
032640,LG유플러스,0,정상
032830,삼성생명,0,정상
033180,KH 필룩스,0,정상
033240,자화전자,0,정상
033250,체시스,0,정상
033270,유나이티드제약,0,정상
033530,세종공업,0,정상
033780,KT&G,0,정상
033920,무학,0,정상
034020,두산에너빌리티,0,정상
034120,SBS,0,정상
034220,LG디스플레이,0,정상
034300,신세계건설,0,정상
034310,NICE,0,정상
034590,인천도시가스,0,정상
034730,SK,0,정상
03473K,SK우,0,정상
034830,한국토지신탁,0,정상
035000,지투알,0,정상
035150,백산,0,정상
035250,강원랜드,0,정상
035420,NAVER,0,정상
035510,신세계 I&C,0,정상
035720,카카오,0,정상
036420,콘텐트리중앙,0,정상
036460,한국가스공사,0,정상
036530,SNT홀딩스,0,정상
036570,엔씨소프트,0,정상
036580,팜스코,0,정상
037270,YG PLUS,0,정상
037560,LG헬로비전,0,정상
037710,광주신세계,0,정상
039130,하나투어,0,정상
039490,키움증권,0,정상
039570,HDC랩스,0,정상
041650,상신브레이크,0,정상
042660,대우조선해양,0,정상
042670,현대두산인프라코어,0,정상
042700,한미반도체,0,정상
044380,주연테크,0,정상
044450,KSS해운,0,정상
044820,코스맥스비티아이,0,정상
047040,대우건설,0,정상
047050,포스코인터내셔널,0,정상
047400,유니온머티리얼,0,정상
047810,한국항공우주,0,정상
049770,동원F&B,0,정상
049800,우진플라임,0,정상
051600,한전KPS,0,정상
051630,진양화학,0,정상
051900,LG생활건강,0,정상
051905,LG생활건강우,0,정상
051910,LG화학,0,정상
051915,LG화학우,0,정상
052690,한전기술,0,정상
053210,스카이라이프,0,정상
053690,한미글로벌,0,정상
055490,테이팩스,0,정상
055550,신한지주,0,정상
057050,현대홈쇼핑,0,정상
058430,포스코스틸리온,0,정상
058650,세아홀딩스,0,정상
058730,다스코,0,정상
058850,KTcs,0,정상
058860,KTis,0,정상
060980,HL홀딩스,0,정상
063160,종근당바이오,0,정상
064350,현대로템,0,정상
064960,SNT모티브,0,정상
066570,LG전자,0,정상
066575,LG전자우,0,정상
067830,세이브존I&C,0,정상
068270,셀트리온,0,정상
068290,삼성출판사,0,정상
068400,SK렌터카,0,정상
069260,TKG휴켐스,0,정상
069460,대호에이엘,0,정상
069500,KODEX 200,0,정상
069620,대웅제약,0,정상
069640,한세엠케이,0,정상
069660,KOSEF 200,0,정상
069730,DSR제강,0,정상
069960,현대백화점,0,정상
070960,용평리조트,0,정상
071050,한국금융지주,0,정상
071055,한국금융지주우,0,정상
071090,하이스틸,0,정상
071320,지역난방공사,0,정상
071840,롯데하이마트,0,정상
071950,코아스,0,정상
071970,STX중공업,0,정상
072130,유엔젤,0,정상
072710,농심홀딩스,0,정상
073240,금호타이어,0,정상
074610,이엔플러스,0,정상
075180,새론오토모티브,0,정상
075580,세진중공업,0,정상
077500,유니퀘스트,0,정상
077970,STX엔진,0,정상
078000,텔코웨어,0,정상
078520,에이블씨엔씨,0,정상
078930,GS,0,정상
078935,GS우,0,정상
079160,CJ CGV,0,정상
079430,현대리바트,0,정상
079550,LIG넥스원,0,정상
079980,휴비스,0,정상
081000,일진다이아,0,정상
081660,휠라홀딩스,0,정상
082640,동양생명,0,정상
082740,HSD엔진,0,정상
083420,그린케미칼,0,정상
084010,대한제강,0,정상
084670,동양고속,0,정상
084680,이월드,0,정상
084690,대상홀딩스,0,정상
084695,대상홀딩스우,0,정상
084870,TBH글로벌,0,정상
085310,엔케이,0,정상
085620,미래에셋생명,0,정상
086280,현대글로비스,0,정상
086790,하나금융지주,0,정상
088260,이리츠코크렙,0,정상
088350,한화생명,0,정상
088790,진도,0,정상
088980,맥쿼리인프라,0,정상
089470,HDC현대EP,0,정상
089590,제주항공,0,정상
089860,롯데렌탈,0,정상
090080,평화산업,0,정상
090350,노루페인트,0,정상
090355,노루페인트우,0,정상
090370,메타랩스,0,정상
090430,아모레퍼시픽,0,정상
090435,아모레퍼시픽우,0,정상
091090,세원이앤씨,0,정상
091160,KODEX 반도체,0,정상
091170,KODEX 은행,0,정상
091180,KODEX 자동차,0,정상
091220,TIGER 은행,0,정상
091230,TIGER 반도체,0,정상
091810,티웨이항공,0,정상
092200,디아이씨,0,정상
092220,KEC,0,정상
092230,KPX홀딩스,0,정상
092440,기신정기,0,정상
092780,동양피스톤,0,정상
093050,LF,0,정상
093230,이아이디,0,정상
093240,형지엘리트,0,정상
093370,후성,0,정상
094280,효성ITX,0,정상
094800,맵스리얼티1,0,정상
095570,AJ네트웍스,0,정상
095720,웅진씽크빅,0,정상
096760,JW홀딩스,0,정상
096770,SK이노베이션,0,정상
096775,SK이노베이션우,0,정상
097230,HJ중공업,0,정상
097520,엠씨넥스,0,정상
097950,CJ제일제당,0,정상
097955,CJ제일제당 우,0,정상
098560,TIGER 방송통신,0,정상
099140,KODEX 차이나H,0,정상
100220,비상교육,0,정상
100250,진양홀딩스,0,정상
100840,SNT에너지,0,정상
100910,KOSEF KRX100,0,정상
101140,인바이오젠,0,정상
101280,KODEX 일본TOPIX100,0,정상
101530,해태제과식품,0,정상
102110,TIGER 200,0,정상
102260,동성케미컬,0,정상
102280,쌍방울,0,정상
102460,이연제약,0,정상
102780,KODEX 삼성그룹,0,정상
102960,KODEX 기계장비,0,정상
102970,KODEX 증권,0,정상
103140,풍산,0,정상
103590,일진전기,0,정상
104520,KOSEF 블루칩,0,정상
104530,KOSEF 고배당,0,정상
104700,한국철강,0,정상
105010,TIGER 라틴35,0,정상
105190,ACE 200,0,정상
105560,KB금융,0,정상
105630,한세실업,0,정상
105780,KBSTAR 5대그룹주,0,정상
105840,우진,0,정상
107590,미원홀딩스,0,정상
108320,LX세미콘,0,정상
108450,ACE 삼성그룹섹터가중,0,정상
108590,TREX 200,0,정상
108670,LX하우시스,0,정상
108675,LX하우시스우,0,정상
109070,컨버즈,0,정상
111110,호전실업,0,정상
111770,영원무역,0,정상
112610,씨에스윈드,0,정상
114090,GKL,0,정상
114100,KBSTAR 국고채3년,0,정상
114260,KODEX 국고채3년,0,정상
114460,ACE 국고채3년,0,정상
114470,KOSEF 국고채3년,0,정상
114800,KODEX 인버스,0,정상
114820,TIGER 국채3년,0,정상
115390,락앤락,0,정상
117460,KODEX 에너지화학,0,정상
117580,대성에너지,0,정상
117680,KODEX 철강,0,정상
117690,TIGER 차이나항셍25,0,정상
117700,KODEX 건설,0,정상
118000,초록뱀헬스케어,0,정상
119650,KC코트렐,0,정상
120030,조선선재,0,정상
120110,코오롱인더,0,정상
120115,코오롱인더우,0,정상
122090,ARIRANG 코스피50,0,정상
122260,KOSEF 통안채1년,0,정상
122630,KODEX 레버리지,0,정상
122900,아이마켓코리아,0,정상
123310,TIGER 인버스,0,정상
123320,TIGER 레버리지,0,정상
123690,한국화장품,0,정상
123700,SJM,0,정상
123890,한국자산신탁,0,정상
126560,현대퓨처넷,0,정상
126720,수산인더스트리,0,정상
128820,대성산업,0,정상
128940,한미약품,0,정상
129260,인터지스,0,정상
130660,한전산업,0,정상
130680,TIGER 원유선물Enhanced(H),0,정상
130730,KOSEF 단기자금,0,정상
131890,ACE 삼성그룹동일가중,0,정상
132030,KODEX 골드선물(H),0,정상
133690,TIGER 미국나스닥100,0,정상
133820,화인베스틸,0,정상
134380,미원화학,0,정상
134790,시디즈,0,정상
136340,KBSTAR 중기우량회사채,0,정상
136490,선진,0,정상
137310,에스디바이오센서,0,정상
137610,TIGER 농산물선물Enhanced(H),0,정상
137930,마이다스 200커버드콜5%OTM,0,정상
138040,메리츠금융지주,0,정상
138230,KOSEF 미국달러선물,0,정상
138490,코오롱플라스틱,0,정상
138520,TIGER 삼성그룹펀더멘털,0,정상
138530,TIGER LG그룹+펀더멘털,0,정상
138540,TIGER 현대차그룹+펀더멘털,0,정상
138910,KODEX 구리선물(H),0,정상
138920,KODEX 콩선물(H),0,정상
138930,BNK금융지주,0,정상
139130,DGB금융지주,0,정상
139220,TIGER 200 건설,0,정상
139230,TIGER 200 중공업,0,정상
139240,TIGER 200 철강소재,0,정상
139250,TIGER 200 에너지화학,0,정상
139260,TIGER 200 IT,0,정상
139270,TIGER 200 금융,0,정상
139280,TIGER 경기방어,0,정상
139290,TIGER 200 경기소비재,0,정상
139310,TIGER 금속선물(H),0,정상
139320,TIGER 금은선물(H),0,정상
139480,이마트,0,정상
139660,KOSEF 미국달러선물인버스,0,정상
139990,아주스틸,0,정상
140570,KBSTAR 수출주,0,정상
140580,KBSTAR 우량업종,0,정상
140700,KODEX 보험,0,정상
140710,KODEX 운송,0,정상
140910,에이리츠,0,정상
140950,파워 코스피100,0,정상
143210,핸즈코퍼레이션,0,정상
143460,ACE 밸류대형,0,정상
143850,TIGER 미국S&P500선물(H),0,정상
143860,TIGER 헬스케어,0,정상
144600,KODEX 은선물(H),0,정상
145210,다이나믹디자인,0,정상
145270,케이탑리츠,0,정상
145670,ACE 인버스,0,정상
145720,덴티움,0,정상
145850,TREX 펀더멘탈 200,0,정상
145990,삼양사,0,정상
145995,삼양사우,0,정상
147970,TIGER 모멘텀,0,정상
148020,KBSTAR 200,0,정상
148070,KOSEF 국고채10년,0,정상
150460,TIGER 중국소비테마,0,정상
152100,ARIRANG 200,0,정상
152380,KODEX 국채선물10년,0,정상
152500,ACE 레버리지,0,정상
152550,한국ANKOR유전,0,정상
152870,파워 200,0,정상
153130,KODEX 단기채권,0,정상
153270,KOSEF 코스피100,0,정상
155660,DSR,0,정상
155900,바다로19호,0,정상
156080,KODEX MSCI Korea,0,정상
157450,TIGER 단기통안채,0,정상
157490,TIGER 소프트웨어,0,정상
157500,TIGER 증권,0,정상
159800,마이티 코스피100,0,정상
160580,TIGER 구리실물,0,정상
161000,애경케미칼,0,정상
161390,한국타이어앤테크놀로지,0,정상
161510,ARIRANG 고배당주,0,정상
161890,한국콜마,0,정상
163560,동일고무벨트,0,정상
166400,TIGER 200커버드콜5%OTM,0,정상
167860,KOSEF 국고채10년레버리지,0,정상
168300,KTOP 코스피50,0,정상
168490,한국패러랠,0,정상
168580,ACE 중국본토CSI300,0,정상
169950,KODEX 차이나A50,0,정상
170900,동아에스티,0,정상
174350,TIGER 로우볼,0,정상
174360,KBSTAR 중국본토대형주CSI100,0,정상
175330,JB금융지주,0,정상
176950,KODEX 국채선물10년인버스,0,정상
178920,PI첨단소재,0,정상
180640,한진칼,0,정상
18064K,한진칼우,0,정상
181480,ACE 미국다우존스리츠(합성 H),0,정상
181710,NHN,0,정상
182480,TIGER 미국MSCI리츠(합성 H),0,정상
182490,TIGER 단기선진하이일드(합성 H),0,정상
183190,아세아시멘트,0,정상
183700,KBSTAR 채권혼합,0,정상
183710,KBSTAR 주식혼합,0,정상
185680,KODEX 미국S&P바이오(합성),0,정상
185750,종근당,0,정상
189400,ARIRANG 글로벌MSCI(합성 H),0,정상
190620,ACE 단기통안채,0,정상
192080,더블유게임즈,0,정상
